,date,text
42,2020-07-14,"pocos, pero mu pocos programas sociales en historia de cualquier gobierno han sido exitosos, casi todos por promedios de efectividad del 15%, el problema es que esté gobierno lo vendió como el salvador del empleo en México.... https://t.co/pSwimoishB"
43,2020-07-14,"@DonPorfifirio No existen Don! Solo hay retraso,éste sr.ha cerrado las puertas al mundo;se incrementó el desempleo y la pobreza,agregó a Mexico al Foro De São Paulo.Además Lopez envía dinero a países centroamericanos ejemplo: envió 30 millones de dólares a El Salvador¿y MEXICO? 😡🤬#FueraAMLO"
44,2020-07-14,"""Según el FMI y el BM, El Salvador será el segundo país más afectado por la pandemia en Centroamérica. La falta de empleo y las dificultades económicas de las personas podrían aumentar las problemáticas migratorias"", mencionó Alejandro Flores, investigador Senior de @fusades."
45,2020-07-14,"@rick_rick5 @lcampos_50 @jae_jaeger El Salvador nesesita eliminar mas impuestos y abrir más la economía.
Quitar regulaciones y así vendrán más trabajos a El Salvador y eso traerá más prosperidad. 

El mejor programa social es un empleo."
46,2020-07-14,"@sulenayala Porque no explicas que esto no solo es aqui en El Salvador y que países de primer mundo han sido impactados en su economia y fuentes de empleo, que esperás de un pais tercermundista como El Salvador? Si sos venenosa y estas llena de publicidad barata y chucaaa🤮"
47,2020-07-14,"@cafecnn @alejandraoraa Hola Alejandra.
Lo que me preocupa es que 2 crisis, una sanitaria y la otra de tipo económica (empleo).
2 Ejemplos:
Napoleón (revolución francesa, curioso hoy es 14 de julio), en europa y Hitler en Alemania.
¿Será este el camino de otro ""salvador"" moderno?"
48,2020-07-13,"@LassoGuillermo En el Congreso tus empleados votan por la "" ley humanitaria "" por lo que miles se quedan sin empleo
Ahora te haces el Salvador ofreciendo empleo.que eres bien sinvergüenza.."
49,2020-07-13,"En Teleperformance, realizaremos la primera feria de empleo virtual en El Salvador, y tú puedes ser parte de ella! 🙌🏻

👉🏻 Únete entrando a: https://t.co/uS6coM2VPp

#TPVirtualJobFair #EachInteractionMatters #TPElSalvador https://t.co/vgefemo0z9"
50,2020-07-13,"@JoseeStellato Juela😣 :'c gracias por cambiar esas 2 vidas y un empleo en el contexto que vive El Salvador es algo tan grande. Ay José 😭❤ sos un angelito en la calle, siempre ayudando y sin publicar nada nunca, te quiero❤❤❤"
51,2020-07-13,"@nayibbukele Si usted puede intervenir por mi en la Universidad Tecnológica de El Salvador, a que me permitan recibir las clases por medio de mi móvil sin costo alguno, ya que como le mencione en el twit anterior no tengo ingresos, perdí mi empleo por la situación actual! Gracias"
52,2020-07-13,"#NACIONALES A partir de julio podría empeorar el desempleo
https://t.co/k7tR4iGOh8"
53,2020-07-13,"En El Salvador, la pobreza podría haber subido al 51.4 % de los hogares, lo que implica de 1.3 a 1.6 millones de nuevos pobres, por el aumento del desempleo y la caída de las remesas, según las estimaciones de FUSADES. https://t.co/DrqQumdCHg"
54,2020-07-13,"Al abogar por la reducción de las desigualdades, también se aboga por esto. Una política seria debe impulsar salario y empleo dignos, así como el acceso a una alimentación saludable. Inaudito que un salvadoreño deba pagar $1.46 diarios para poder comer.

https://t.co/V8lYZoO4rs"
55,2020-07-13,"La pobreza podría haber subido al 51.4 % de los hogares (1.3 a 1.6 millones de personas afectadas) por el aumento del desempleo y la caída de las remesas 
https://t.co/VYan7gWPhq @prensagrafica"
56,2020-07-13,"@DFRojas5 @jpperafanzu @CoronavirusNewv Argentina tiene inflación pero sus niveles de pobreza y desempleo son mucho menores que los de colombia, Uruguay también es un país ejemplo en la región,Bolivia,Ecuador hasta que los vojio la derecha corrupta de Latinoamérica ,el salvador es un ejemplo de gobierno, un saludo"
57,2020-07-13,Teleperformance lanza la primera feria de empleo virtual de El Salvador https://t.co/dIq1GedYM3 https://t.co/LvpA52ToUn
58,2020-07-13,"#CMLPG | Teleperformance apuesta por la innovación y realizará la primera feria de empleo virtual del país este miércoles 22 de julio.  

https://t.co/h0fm3L9jLn"
59,2020-07-13,"La muerte, la inseguridad, el desempleo, etc. y ellos triunfantes, pendejos//La muerte crece y el gobierno se achica https://t.co/CU58WfXf7U a través de @El_Universal_Mx https://t.co/mCArnQilf9"
60,2020-07-13,@jonprendas Y porqué no da usted la solución? Porque no da usted el plan Salvador contra el desempleo en tiempos de pandemia? Me gustaría escuchar su propuesta y no sus críticas!
61,2020-07-13,"Cabal ! Así les digo ,vámonos para El Salvador ! Al paraíso de bukele que desde MIAMI da las ordenes para robar;en donde la pobreza llegara al 1.5 M ,pandemia, desempleo,,educación  un retroceso en los programas sociales, no se olviden de admirar las carreteras que dejo el FMLN. https://t.co/vr9OnyaD3a"
62,2020-07-13,@RomeoHerrera1 @nayibbukele buenos días soy un salvadoreño residente en España estamos teniendo problema para la homologacion de licencias de conducir no contestan de El Salvador sera que nos puede ayuda ya que es vital para el empleo aquí en España por favor ayúdenos
63,2020-07-12,"@LOVREGA Solo son los 30 millones que votaron por el orate de palacio.

¿Ignorantes e irresponsables?

Cláro ve a quien eligieron como su salvador.

¿Primero los pobres? 

Son los primeros en quedar sin empleo y sin medicinas.

#AmloFracasoPresidencial 

#AmloRenuncia"
64,2020-07-12,"@Irma71747351 @victorhangeles @ChumelTorres No... hechos que se denuesten, si esa es tu manera de comprobar algo.. así lo dejamos.. porque NO me has dicho nada que haya beneficiado al país.. hay más crimen, mas homicidios, más pobreza, menos acceso a la salud, educación y empleo (NO ES POR EL COVID-19, el dijo como anillo)"
65,2020-07-12,"@MARTHAT39486549 @Miguel91801373 @marulo17498060 Millones en desempleo incluso antes de la pandemia.Regalar dinero a centro y Sudamérica, específicamente Cuba y El Salvador.Cancelar el aeropuerto sin pruebas de corrupción, y convertir dinero Privado en deuda pública.👇🏼"
66,2020-07-12,@PatriciaEsoobar @JARLinarez @gmuyshondt El peor obstáculo en El Salvador para los salvadoreños es el desempleo de 20 a 30%...la falta de humanidad de los que tienen mucho y no se les parte el alma cuando a diario ven alos que no tienen nada ...
67,2020-07-12,"@PresidenciaSV hola su excelencia soy cubano vivo en el salvador hace un año y dos meses, no tengo trabajo en cuba fui auxiliar forense del crimen organizado, no habrá alguna posibilidad de empleo aunque sea a honores, quiero ayudar."
68,2020-07-12,"@nayibbukele Buenas su excelencia soy cubano vivo en el salvador municipio santa Ana hace 1 año
y 2 meses no tengo trabajo en cuba fui auxiliar forense del crimen organizado hay alguna posibilidad de empleo?"
69,2020-07-11,#EmpleatixPRO | Oportunidad de empleo en El Salvador. #empleo #trabajo #vacantes #elsalvador #empleos https://t.co/B054aYghqn
70,2020-07-11,"El director del Fideicomiso Ejecutivo del Fondo de Competitividad y Promoción del Empleo (FIDECOMP), Juan Diego Pons Díaz de León, informó que a pesar de la contingencia sanitaria, se registró un incremento de hasta el 20% en la recaudación del impuesto sobre nómina.
#Morelos https://t.co/z1zTyFQeml"
71,2020-07-11,Teleperformance realizará primera feria de empleo virtual en El Salvador | Noticias de El Salvador - https://t.co/peFZtjyFvv https://t.co/s81BUtphbs
72,2020-07-11,@Julitoch si deberian de adaptarlo a la realidad nacional.. en el salvador no hay seguro de desempleo estatal o otras prestaciones.
73,2020-07-11,"Es increíble como las políticas estadounidenses en su historia para el Salvador estaban enfocadas a favorecer las grandes elites económicas , nuestro país fue marginado en educación  salud , empleo y seguridad alimentaria , no era fácil adivinar el porqué de tanta inmigración"
0,2020-07-06,"@estupidonio No,... él vive en una realidad alterna, en un mundo feliz donde se le alaba y se cree el Salvador de un  México donde ya no hay muerte, crisis, desempleo, corrupción... Menudo putazo lo volverá a la realidad!!!!"
1,2020-07-05,"@JeanineAnez Escuche a su Pueblo Presidenta no hay respuesta de su Autoridad a lo siguiente :
*Destitución* Ministro Educacion y Sr. Tejada, 
*AFP*
*Destitución Salvador Romero TSE*
*Crédito* directo al ciudadano común y el gobierno Garante, el Plan de Empleo es solo a Empresas."
2,2020-07-05,"Saben porqué considero que la cuarentena focalizada o cordon sanitario es la mejor opcion hablando economicamente, por qué El salvador no estaria preparado para una fenómeno de desempleo aun mayor del que ya esta presente, lo que traeria mayor problemas a cp, mp y lp."
3,2020-07-05,@GorgSam23 @alimontoya75 @FrancescaRivasA Es que estos creen que El Salvador esta dentro de una burbuja y que los altos niveles de desempleo en Europa y USA no afectan en nada una economia en gran parte consumista que depende de las remesas...
4,2020-07-05,"a mi jefe sólo le importa el beneficio propio y llenarse la boca y los bolsillos a costa de proclamar q crea empleo y q la gente se lo agradece. un salvador d jóvenes indefensos q no vale nada q estudien la carrera, pq en su bar ""van a ganar más"""
5,2020-07-05,"@marenco @calles_virginia Por la desinformación que hay en el extranjero. 

Sólo se nutren de la propaganda del gobierno. 

Creen que El Salvador ya superó la violencia, la pobreza, el desempleo, etc. Qué ya somos de primer mundo🤦🏻‍♂️🤦🏻‍♂️🙄🙄"
6,2020-07-05,"El año pasado fui a El Salvador con mi antiguo brete a conocer un proyecto para puentes de empleo...

Fue de las mejores experiencias que he tenido a nivel laboral. https://t.co/i3XjaUwhVj"
7,2020-07-05,"En los países del primer mundo creo es aceptable pero x lados del quinto mundo es una pena como la ESTAMOS pasando, hambre,desempleo,violación derechos humanos, violencia intrafamiliar e infantil, garrote. INHUMANO, OJALA PONGAN LOS OJOS EN EL SALVADOR, Centro America. https://t.co/Se4PxS7wEE"
8,2020-07-04,"Si El Salvador antes era pobre y lleno de hambre, hoy es 10 veces peor.

Hoy más que nunca necesitamos empleo y empresas para salir adelante."
9,2020-07-04,"@Noalospoliticos @carmenstrual Llamados a oídos sordos. El periodismo en el Salvador está pagado porq a bien les sirven. Se cuentan con los dedos los periodistas con etica, Unos por no perder su empleo y otros por q quedar bien con sus jefes y el otro jefe💼"
10,2020-07-04,"@salvador_leon22 @dama_rosas @Andres_Salas87 @ramirogarciaf @MashiRafael El q nada debe nada teme, si Ud gano la beca x su capacidad y su IQ por qué se siente aludido?  Me imagino q su inteligencia le habrá dado un buen empleo, tal vez es funcionario público? O trabaja en la privada."
11,2020-07-04,"La Ciudadanía de la República de El Salvador merece ""Justicia"" para condenar al gob. dirigido por @nayibbukeleSv_ de :
- Genocidio, Nepotismo, Corrupción, Despilfarro, Incapacidad, Violencia a grupos Femeninistas, No Inclusión Social , Desempleo,etc.
El estado se ""En QUIEBRA "". https://t.co/IDsfKEHwef"
