,date,text
51,2020-07-16,@yandellcr La pandemia dijo que hay 2 (Costa Rica) la del sector privado golpeado duramente y en donde los empleados perdieron su empleo o por ley vieron un rebajo inmediato de sus salarios y un privilegiado sector público recibiendo 100% de su salario y prácticamente blindados ante la ley. https://t.co/gOvb0Og7jp
52,2020-07-16,"@INECCR de #CostaRica reveló un ascenso histórico en el índice de desempleo en el país caribeño al 20,1% a causa de la pandemia
https://t.co/UJeqQ1f8Gn"
53,2020-07-16,"Costa Rica llega a 20.1% de desempleo una cifra preocupante junto al acontecer por la pandemia 

No son tiempos sencillos para Latinoamérica ni la región centroamericana en este 2020 https://t.co/7GQRGOejHA"
54,2020-07-16,"#Internacionales El desempleo en Costa Rica alcanzó 20,1% entre marzo y mayo, el más alto que ha registrado el país, debido al impacto de la pandemia de coronavirus, indicó el Instituto Nacional de Estadística y Censo (INEC) este jueves: https://t.co/oQCLF18dGa . https://t.co/N6o5vEi7uj"
55,2020-07-16,Desempleo histórico: 1 de cada 5 personas está desempleada en Costa Rica https://t.co/Cb6rYSx0Ji https://t.co/djpmt0YYwb
56,2020-07-16,Desempleo en Costa Rica alcanza nivel record #Noticias #lavibrante #AEstahora Leer más... https://t.co/jGn2sLe1PD #internacionales
57,2020-07-16,"#RCVInternacionales 

El desempleo en Costa Rica alcanza el 20.1% en lo que va de la pandemia. 

Lea la nota completa ⬇️

https://t.co/8o3fFcv6O3"
58,2020-07-16,"#CostaRica | El presidente @CarlosAlvQ afirmó que debido a la #COVID__19 el país tuvo que restringir actividades económicas. La tasa de desempleo subió al 20,1 %.
#Economia @PLprensalatina 

Más información en https://t.co/0AZGkav7G7 https://t.co/BuiihKdqnD"
59,2020-07-16,"#CostaRica | El presidente @CarlosAlvQ afirmó que debido a la #COVID__19 el país tuvo que restringir actividades económicas. La tasa de desempleo subió al 20,1 %.
#Economia @PLprensalatina 

Más información en https://t.co/Dmj3FMy2V4 https://t.co/QGqgzbRfgs"
60,2020-07-16,"Uno de los primeros logros de Charlinflas que reconocen a nivel internacional
https://t.co/5d6sYwj5up Desempleo en Costa Rica alcanza nivel récord por impacto de la pandemia"
61,2020-07-16,"Y me vengo dando cuenta que .@CarlosAlvQ no apareció ante la prensa al mediodía, ¿Será que lo protegieron de que saliera con una ""carlotada"" ante los gravísimos números de desempleo? Dios apañe y ampare a Costa Rica, en medio del mar en tormenta y sin capitán que guíe la barca https://t.co/1cSPpdo4LK"
62,2020-07-16,"Este panorama laboral no es exclusivo de Costa Rica. De hecho, la OIT calificó de “inciertas” las perspectivas del empleo en todo el mundo para el segundo semestre de este año. En especial, la región por el inmenso costo social y la mala productividad industrial."
63,2020-07-16,Coursera como una opción para combatir el desempleo en Costa Rica! Really????
64,2020-07-16,Desempleo en Costa Rica llega a su peor nivel en la historia y Carlos Alvarado envía “solidaridad” a los 468.000 costarricenses sin empleo. https://t.co/3205c3Ugkx
65,2020-07-16,Desempleo en Costa Rica alcanza nivel récord por impacto de la pandemia https://t.co/gOGqcr68k2
66,2020-07-16,https://t.co/c3KZYdHaIi Desempleo en Costa Rica alcanza nivel récord por impacto de la pandemia.
67,2020-07-16,"¡Digno de imitar! Presidente de Costa Rica se reduce salario ante crisis por pandemia de coronavirus, aquí detalles 

https://t.co/YltjH9nuox"
68,2020-07-16,"Será que nuestros hermanos Ticos tendrán que venir a buscar trabajo en dólares a Panamá ?

El desempleo en Costa Rica alcanzó 20,1% para el trimestre de marzo a mayo, el más alto que ha registrado el país."
69,2020-07-16,"Desempleo en Costa Rica alcanza nivel récord por impacto de la pandemia
https://t.co/qyQ4ZTCVYy"
70,2020-07-16,"Carlos Alvarado le envía solidaridad a las personas que sufren desempleo

Qué gran ayuda!!!

 https://t.co/LkAhq22srP"
71,2020-07-16,"Es catastrófico que tengamos que tengamos un 20% de desempleo abuierto, y otro 20% de sub empleo, y pocos pueden decir que tienen trabajo normal y salario fijo.

https://t.co/we6QxsPxqV

Se https://t.co/35Gyx8J0WM https://t.co/lhizPW3Qwh"
72,2020-07-16,"Entre marzo y mayo el desempleo en Costa Rica alcanzó 20,1% debido al impacto de la pandemia de coronavirus, indicó el organismo oficial de estadística este jueves. #AsiComoSuena #CorpoTv #NoticieroEnLinea https://t.co/uMpIYJxptN"
73,2020-07-16,"Costa Rica: datos de trimestre móvil Marzo-Abril-Mayo 2020, publicados este día:
- Tasa de desempleo total: 20.1%
    - Mujeres 26.0%
    - Hombres 16.3%
- 179, 773 ocupados menos respecto trimestre móvil anterior.
Fuente: INEC-ECE"
74,2020-07-16,"Ahora ya solamente decirle a esos compatriotas como se ""come"" la solidaridad... Este mae está sólo, definitivamente! 
https://t.co/9jNC1GFJqi"
75,2020-07-16,Fracción del PAC seguirá trabajando en acuerdos políticos para luchar contra desempleo https://t.co/xBxwg1oMWi
76,2020-07-16,"El desempleo en Costa Rica alcanzó 20,1% entre marzo y mayo, el más alto que ha registrado el país, debido al impacto de la pandemia de coronavirus, indicó el organismo oficial de estadística este jueves (16.07.2020). https://t.co/e7KmuO5HxC"
77,2020-07-16,COSTA RICA:  Gobierno neoliberal de Alvarado se alista para nuevo ataque al empleo Público-ANEP https://t.co/QV1rgu1gO5
78,2020-07-16,#URGENTE | Costa Rica atraviesa una crisis de desempleo sin igual https://t.co/fBPzYOaD9r
79,2020-07-16,"La tasa de desempleo mostró un incremento de 8,8 puntos porcentuales desde el mismo período de 2019, según un informe del Instituto Nacional de Estadística y Censo. #NoticiasTVN
https://t.co/PYhUhT63Aj"
80,2020-07-16,"Según el Gobierno, el país llegó a la cifra de 190 mil personas desempleadas más en comparación con el año anterior como consecuencia de los efectos del COVID-19 y la restricción de actividades económicas que ocasionó.

#CulturaCR #Desempleo #CostaRica

https://t.co/EShB0vyrBA"
81,2020-07-16,"Quizás así, con dibujitos de escuela, algunes logren entender lo nefasto que ha sido el PAC para Costa Rica. 

#Desempleo 📈
#PACNuncaMás 🚫
#DespiertaCostaRica 🇨🇷 https://t.co/oS0u4IYaip"
82,2020-07-16,"Contracción económica por la pandemia afecta el empleo en Costa Rica
https://t.co/3qAj8b3Ntg"
83,2020-07-16,"En #CostaRica, 🇨🇷 el #desempleo llego al 20.1% en los primeros meses de la pandemia del #virusPCCh, lo que representa incremento de 8.8 puntos porcentuales en comparación con el mismo periodo de 2019, informó el Instituto Nacional de Estadística y Censos.https://t.co/CgBRXWQ7UC"
