date	empleo_volumen	replies	retweets	likes	iso_2
2020-06-28	8	6	6	28	GT
2020-06-29	9	3	5	19	GT
2020-06-30	8	16	126	265	GT
2020-07-01	13	5	66	302	GT
2020-07-02	12	5	73	225	GT
2020-07-03	7	3	2	6	GT
2020-07-04	3	2	0	0	GT
2020-07-05	4	3	13	28	GT
2020-07-06	5	3	17	44	GT
2020-07-07	6	3	8	32	GT
2020-07-08	3	0	0	3	GT
2020-07-09	2	0	0	2	GT
2020-07-10	6	2	7	22	GT
2020-07-11	3	0	0	3	GT
2020-07-12	11	3	6	33	GT
2020-07-13	12	7	35	62	GT
2020-07-14	37	7	25	67	GT
2020-07-15	40	9	27	82	GT
2020-07-16	36	6	8	24	GT
2020-07-17	31	3	3	8	GT
2020-07-18	33	1	10	42	GT
2020-07-19	33	118	98	593	GT
2020-07-20	31	2	0	0	GT
